yearbuilt,finsqft,cooling,bedroom,fullbath,halfbath,lotsize,totalvalue,esdistrict,msdistrict,hsdistrict,censustract,age,condition,fp
1997,1582,Central Air,3,2,0,0.099,229600,Baker-Butler,Sutherland,Albemarle,103,22,Average,0
1987,3126,Central Air,4,2,1,5.177,634800,Murray,Henley,Western Albemarle,110,32,Average,1
1972,1428,Central Air,3,1,1,0,177100,Agnor-Hurt,Burley,Albemarle,107,47,Average,0
2001,2526,Central Air,4,2,1,0.313,442900,Stony Point,Burley,Monticello,105,18,Average,1
1991,1784,Central Air,3,2,1,2.95,235900,Scottsville,Walton,Monticello,114,28,Average,1
1981,2120,Central Air,4,3,1,3.303,510900,Meriwether Lewis,Henley,Western Albemarle,101,38,Average,1
1986,1616,Central Air,3,3,0,0,248600,Agnor-Hurt,Burley,Albemarle,106.02,33,Average,1
1992,1784,Central Air,3,2,0,0.223,334800,Baker-Butler,Sutherland,Albemarle,103,27,Average,1
2004,2412,Central Air,4,2,0,0.179,328800,Baker-Butler,Sutherland,Albemarle,103,15,Average,1
1930,1536,Central Air,3,1,0,5.08,254300,Stone-Robinson,Walton,Monticello,113.01,89,Average,0
1990,3381,Central Air,5,2,1,2.53,413300,Broadus Wood,Jouett,Albemarle,102.01,29,Average,1
1963,2250,Central Air,4,4,1,0.539,292800,Greer,Jouett,Albemarle,108,56,Average,1
2019,2183,Central Air,3,2,1,0.055,375100,Cale,Walton,Monticello,113.03,0,Average,0
2006,2612,Central Air,4,2,1,2.008,417700,Baker-Butler,Sutherland,Albemarle,102.01,13,Average,1
1972,1428,Central Air,3,1,1,0,177100,Agnor-Hurt,Burley,Albemarle,107,47,Average,0
1950,960,Central Air,4,2,0,3.633,416300,Agnor-Hurt,Burley,Albemarle,106.02,69,Average,0
1995,1330,Central Air,3,2,1,0.072,195200,Baker-Butler,Sutherland,Albemarle,102.01,24,Average,0
1948,612,Central Air,2,1,0,1,116300,Brownsville,Henley,Western Albemarle,111,71,Average,0
NA,1728,Central Air,3,3,1,0.044,284300,Cale,Walton,Monticello,113.03,27,Average,0
2003,3108,Central Air,4,5,0,1.506,798300,Murray,Henley,Western Albemarle,110,16,Average,1
1980,2953,Central Air,3,2,1,2.02,871900,Murray,Henley,Western Albemarle,110,39,Average,1
1986,1920,Central Air,4,2,1,0,328800,Hollymead,Sutherland,Albemarle,103,33,Average,1
1981,1196,Central Air,4,3,0,2.005,271500,Baker-Butler,Sutherland,Albemarle,102.01,38,Average,1
1986,1350,Central Air,3,2,0,2.336,277600,Stone-Robinson,Burley,Monticello,104.02,33,Average,0
1994,1631,Central Air,3,2,1,0.346,275800,Crozet,Henley,Western Albemarle,111,25,Average,1
2010,1772,Central Air,3,3,1,0.082,309400,Stone-Robinson,Burley,Monticello,105,9,Average,0
2007,1402,Central Air,3,2,1,0.031,242600,Baker-Butler,Sutherland,Albemarle,103,12,Average,0
1970,1404,Central Air,3,2,0,1.15,216900,Meriwether Lewis,Henley,Western Albemarle,101,49,Average,0
2016,2650,Central Air,4,4,1,0.098,589700,Brownsville,Henley,Western Albemarle,111,3,Average,1
2015,1722,Central Air,3,3,1,0.049,328200,Agnor-Hurt,Burley,Albemarle,106.02,4,Average,0
1977,2923,Central Air,4,3,1,7.33,571300,Meriwether Lewis,Henley,Western Albemarle,110,42,Average,1
1997,2852,Central Air,3,2,1,1.09,344100,Broadus Wood,Jouett,Albemarle,103,22,Average,1
2007,3322,Central Air,3,2,1,2.08,386800,Baker-Butler,Sutherland,Albemarle,102.01,12,Average,0
2001,3179,Central Air,5,4,2,3.016,750800,Murray,Henley,Western Albemarle,110,18,Average,1
1989,1696,Central Air,3,2,1,0.249,303900,Baker-Butler,Sutherland,Albemarle,103,30,Average,1
1983,2196,Central Air,4,2,1,0.332,363400,Woodbrook,Jouett,Albemarle,106.01,36,Average,1
2000,3179,Central Air,4,3,2,12.439,898900,Meriwether Lewis,Henley,Western Albemarle,110,19,Average,1
1990,1598,Central Air,3,2,0,0.267,351700,Cale,Walton,Monticello,113.03,29,Average,0
2004,2060,Central Air,3,2,0,6,390500,Red Hill,Walton,Monticello,112.02,15,Average,1
1983,1320,Central Air,3,1,2,0,179700,Agnor-Hurt,Jouett,Albemarle,107,36,Average,0
2017,1872,Central Air,2,2,NA,112.038,561800,Red Hill,Walton,Monticello,112.01,2,Average,0
2001,2875,Central Air,4,4,1,1.124,825700,Stone-Robinson,Burley,Monticello,105,18,Average,1
1976,1796,Central Air,3,2,0,1.263,310700,Agnor-Hurt,Burley,Albemarle,106.02,43,Average,1
1986,2401,Central Air,4,2,1,4.753,450100,Broadus Wood,Jouett,Albemarle,102.02,33,Average,1
1988,1815,Central Air,3,3,0,0,300200,Agnor-Hurt,Burley,Albemarle,106.02,31,Average,1
2019,1680,Central Air,3,2,2,0.0424,296900,Baker-Butler,Sutherland,Albemarle,102.01,0,Average,0
1987,1044,No Central Air,3,2,0,2,239600,Meriwether Lewis,Henley,Western Albemarle,110,32,Average,0
1993,2620,Central Air,4,3,1,0.488,547700,Agnor-Hurt,Burley,Albemarle,106.02,26,Average,1
1976,1269,Central Air,4,3,0,2.038,263500,Broadus Wood,Jouett,Albemarle,102.01,43,Average,1
1966,1463,Central Air,6,3,0,0.3516,344000,Woodbrook,Jouett,Albemarle,106.01,53,Average,1
1978,1110,Central Air,3,2,0,2.181,245700,Stone-Robinson,Burley,Monticello,104.02,41,Average,1
1942,1028,Central Air,2,1,0,1.9,191900,Baker-Butler,Sutherland,Albemarle,103,77,Average,0
2017,2400,Central Air,4,2,1,0.154,430800,Stone-Robinson,Burley,Monticello,105,2,Average,1
1930,984,No Central Air,2,1,NA,1.988,115300,Brownsville,Henley,Western Albemarle,112.01,89,Average,0
1960,1042,Central Air,3,1,0,0.7,169200,Baker-Butler,Sutherland,Albemarle,103,59,Average,0
1962,2176,Central Air,3,2,0,0.595,337800,Woodbrook,Jouett,Albemarle,106.01,57,Average,1
1989,2938,Central Air,4,4,1,2.868,640500,Meriwether Lewis,Henley,Western Albemarle,110,30,Average,1
2006,3050,Central Air,5,3,1,0.459,589700,Cale,Walton,Monticello,112.02,13,Average,1
1967,2501,Central Air,3,2,1,1.871,485900,Meriwether Lewis,Henley,Western Albemarle,110,52,Average,1
1986,1299,No Central Air,2,2,0,6.41,274700,Stony Point,Burley,Monticello,105,33,Average,0
2003,4131,Central Air,6,4,1,0.767,746200,Woodbrook,Jouett,Albemarle,106.01,16,Average,1
2000,2752,Central Air,4,2,1,0.357,413500,Hollymead,Sutherland,Albemarle,103,19,Average,1
2000,2809,Central Air,5,2,1,0.37,437400,Hollymead,Sutherland,Albemarle,103,19,Average,1
1986,1903,Central Air,3,2,0,0.244,325000,Woodbrook,Jouett,Albemarle,106.01,33,Average,1
2004,5471,Central Air,5,4,1,3.81,1330700,Greer,Jouett,Albemarle,108,15,Average,1
1997,6863,Central Air,4,6,1,15.712,3271200,Crozet,Henley,Western Albemarle,101,22,Average,1
2005,2476,Central Air,5,4,0,2.071,571800,Baker-Butler,Sutherland,Albemarle,102.01,14,Average,1
1983,1408,Central Air,3,3,1,0.1015,220300,Agnor-Hurt,Burley,Albemarle,106.02,36,Average,1
2001,4180,Central Air,4,4,1,1.851,781900,Broadus Wood,Jouett,Albemarle,102.01,18,Average,1
1964,3102,Central Air,4,3,0,1.588,565500,Stony Point,Burley,Monticello,105,55,Average,1
2007,2540,Central Air,3,2,1,3,244000,Stone-Robinson,Burley,Monticello,104.01,12,Average,0
2018,2483,Central Air,4,3,1,0.056,375100,Stone-Robinson,Burley,Monticello,105,1,Average,0
1997,1609,Central Air,3,2,0,0.196,261300,Crozet,Henley,Western Albemarle,111,22,Average,1
1998,1790,Central Air,3,2,1,0.176,354800,Cale,Burley,Monticello,112.02,21,Average,1
1990,2306,Central Air,4,2,1,0.31,406300,Baker-Butler,Sutherland,Albemarle,103,29,Average,1
1974,1269,Central Air,4,2,0,2.407,252200,Broadus Wood,Jouett,Albemarle,102.01,45,Average,1
2013,2112,Central Air,4,2,2,0.119,413400,Brownsville,Henley,Western Albemarle,111,6,Average,0
1973,1756,Central Air,3,2,0,3.786,407600,Stone-Robinson,Burley,Monticello,104.02,46,Average,1
2011,1610,Central Air,3,2,1,0.058,252800,Greer,Jouett,Albemarle,108,8,Average,0
1981,2491,Central Air,4,3,0,2,587500,Meriwether Lewis,Henley,Western Albemarle,110,38,Average,1
2004,1344,Central Air,3,2,0,2.09,211900,Brownsville,Henley,Western Albemarle,112.01,15,Average,1
2001,2172,Central Air,4,3,1,0.262,428600,Cale,Walton,Monticello,113.03,18,Average,1
1985,2790,Central Air,4,3,1,3.575,562500,Meriwether Lewis,Henley,Western Albemarle,101,34,Average,1
1994,960,Central Air,3,1,1,6.32,120500,Scottsville,Walton,Monticello,114,25,Average,0
2004,2372,Central Air,3,2,1,0.2,323800,Crozet,Henley,Western Albemarle,111,15,Average,1
2007,2872,Central Air,4,2,1,0.311,432400,Stony Point,Burley,Monticello,105,12,Average,1
1939,1145,Central Air,2,1,0,0.31,130100,Stone-Robinson,Burley,Monticello,105,80,Average,1
1994,1428,Central Air,2,2,0,0.139,230400,Crozet,Henley,Western Albemarle,111,25,Average,0
1800,2002,Central Air,3,2,0,1,266200,Broadus Wood,Jouett,Albemarle,102.01,219,Average,1
1998,3212,Central Air,4,2,1,2.986,591500,Broadus Wood,Jouett,Albemarle,102.02,21,Average,1
2011,1856,Central Air,3,2,0,2.677,309500,Crozet,Henley,Western Albemarle,101,8,Average,1
2006,2634,Central Air,4,3,0,0.265,501300,Brownsville,Henley,Western Albemarle,111,13,Average,1
2014,2327,Central Air,3,3,0,0.126,474700,Agnor-Hurt,Burley,Albemarle,106.02,5,Average,0
1972,1240,Central Air,4,1,2,0,240100,Woodbrook,Jouett,Albemarle,107,47,Average,0
1991,3820,Central Air,3,3,1,6.823,944000,Murray,Henley,Western Albemarle,110,28,Average,1
2004,2809,Central Air,6,3,1,0.314,511900,Hollymead,Sutherland,Albemarle,103,15,Average,1
1995,2027,Central Air,4,2,1,0.23,342400,Hollymead,Sutherland,Albemarle,103,24,Average,1
1925,2634,No Central Air,5,2,1,7.455,505200,Brownsville,Henley,Western Albemarle,111,94,Average,1
1981,5723,Central Air,6,5,2,102.56,2993400,Broadus Wood,Jouett,Albemarle,102.02,38,Average,1
1990,2240,Central Air,4,2,1,1.5293,325200,Woodbrook,Jouett,Albemarle,106.01,29,Average,1
1960,1324,Central Air,3,1,0,0.812,104200,Stony Point,Sutherland,Albemarle,104.01,59,Average,0
1952,1915,Central Air,3,3,0,5,514500,Meriwether Lewis,Henley,Western Albemarle,110,67,Average,1
1994,1654,Central Air,3,2,1,0.388,312700,Cale,Walton,Monticello,113.03,25,Average,1
1976,1344,Central Air,3,2,1,1.141,335200,Meriwether Lewis,Henley,Western Albemarle,110,43,Average,1
2010,1128,Central Air,3,2,0,2.001,173900,Scottsville,Walton,Monticello,113.01,9,Average,0
1984,1152,Central Air,2,2,1,0,203400,Greer,Jouett,Albemarle,107,35,Average,1
1964,1269,Central Air,4,2,0,0.434,264500,Woodbrook,Jouett,Albemarle,106.01,55,Average,1
1999,1372,Central Air,2,2,1,0.041,229600,Agnor-Hurt,Burley,Albemarle,106.02,20,Average,1
1973,1680,Central Air,3,3,0,0.599,294300,Broadus Wood,Jouett,Albemarle,102.01,46,Average,1
1993,1801,Central Air,2,2,0,0,290200,Baker-Butler,Sutherland,Albemarle,103,26,Average,1
2018,3330,Central Air,4,4,1,0.689,735900,Cale,Walton,Monticello,112.02,1,Average,1
2004,2238,Central Air,3,2,0,0.179,354600,Baker-Butler,Sutherland,Albemarle,103,15,Average,1
1890,2404,Central Air,3,2,0,0.53,435900,Crozet,Henley,Western Albemarle,111,129,Average,1
2004,2746,Central Air,2,2,1,5.231,509500,Scottsville,Walton,Monticello,114,15,Average,1
1973,1391,Central Air,3,2,0,0.685,294700,Woodbrook,Jouett,Albemarle,106.01,46,Average,1
1986,2420,Central Air,4,2,2,1.022,446300,Stone-Robinson,Burley,Monticello,105,33,Average,1
1988,1936,Central Air,4,3,1,0.31,366000,Woodbrook,Jouett,Albemarle,106.01,31,Average,1
1983,1040,Central Air,2,1,1,0,203200,Agnor-Hurt,Burley,Albemarle,106.02,36,Average,1
1989,3950,Central Air,3,2,1,11.565,701700,Red Hill,Walton,Monticello,112.02,30,Average,1
1965,1566,Central Air,5,3,0,0,294900,Greer,Jouett,Albemarle,108,54,Average,1
2002,1712,Central Air,3,3,1,0,287500,Agnor-Hurt,Burley,Albemarle,106.02,17,Average,1
1999,2642,Central Air,3,2,1,0.157,373200,Brownsville,Henley,Western Albemarle,111,20,Average,1
1976,1008,Central Air,3,1,0,1.023,171800,Stone-Robinson,Burley,Monticello,104.02,43,Average,1
1977,1843,Central Air,3,3,0,0,412800,Meriwether Lewis,Henley,Western Albemarle,110,42,Average,1
2014,1680,Central Air,3,2,1,0.043,338000,Agnor-Hurt,Burley,Albemarle,106.02,5,Average,0
1994,1458,Central Air,3,2,1,0,191300,Baker-Butler,Sutherland,Albemarle,102.01,25,Average,0
1987,960,No Central Air,3,1,0,2,128200,Red Hill,Walton,Monticello,114,32,Average,0
1991,3262,Central Air,4,2,0,5.268,440300,Stone-Robinson,Walton,Monticello,113.01,28,Average,0
1992,3082,Central Air,4,2,1,10.876,586800,Murray,Henley,Western Albemarle,112.01,27,Average,1
1961,1652,Central Air,3,3,0,0.8629,404900,Woodbrook,Jouett,Albemarle,106.01,58,Average,1
1984,1763,No Central Air,3,1,1,2,245600,Red Hill,Walton,Monticello,113.01,35,Average,1
1994,1460,Central Air,2,2,0,0.29,376600,Cale,Walton,Monticello,113.01,25,Average,0
2015,2536,Central Air,3,2,1,0.468,756000,Stony Point,Burley,Monticello,105,4,Average,1
1986,1056,Central Air,3,2,0,2.106,125100,Scottsville,Walton,Monticello,114,33,Average,1
2004,2880,Central Air,4,3,1,0.338,456100,Cale,Burley,Monticello,112.02,15,Average,1
2013,2382,Central Air,4,3,0,0.122,437800,Agnor-Hurt,Burley,Albemarle,106.02,6,Average,0
2001,4054,Central Air,3,3,1,3.708,686300,Broadus Wood,Jouett,Albemarle,101,18,Average,1
1983,1819,Central Air,3,2,0,1.437,328600,Broadus Wood,Jouett,Albemarle,102.01,36,Average,1
1989,1354,Central Air,3,3,1,0.239,280500,Cale,Burley,Monticello,113.03,30,Average,1
2003,1958,Central Air,3,3,0,0.191,499800,Agnor-Hurt,Burley,Albemarle,106.02,16,Average,1
1998,1008,Central Air,3,1,0,2.068,142800,Scottsville,Walton,Monticello,114,21,Average,0
1985,2008,Central Air,4,3,0,0,611400,Murray,Henley,Western Albemarle,110,34,Average,1
1982,2259,Central Air,5,3,0,0,274700,Woodbrook,Jouett,Albemarle,108,37,Average,1
1974,1328,No Central Air,3,2,0,2,158100,Red Hill,Walton,Monticello,114,45,Average,0
1983,944,No Central Air,3,1,0,2.029,103700,Crozet,Henley,Western Albemarle,101,36,Average,0
1984,1653,Central Air,3,2,0,0.223,338300,Woodbrook,Jouett,Albemarle,106.01,35,Average,1
1992,1369,Central Air,3,2,0,0.255,324400,Cale,Walton,Monticello,113.03,27,Average,1
1973,1313,No Central Air,3,2,0,0,313800,Broadus Wood,Jouett,Albemarle,102.02,46,Average,1
1978,1973,Central Air,3,1,1,2.222,388900,Stony Point,Burley,Monticello,105,41,Average,0
1982,2763,Central Air,4,2,1,5,235700,Scottsville,Walton,Monticello,114,37,Average,1
1977,1568,Central Air,4,3,0,1.934,518400,Meriwether Lewis,Henley,Western Albemarle,110,42,Average,1
2007,1660,Central Air,4,3,1,0.073,311500,Baker-Butler,Sutherland,Albemarle,103,12,Average,0
1998,2506,Central Air,3,3,1,0.292,436100,Cale,Walton,Monticello,113.03,21,Average,1
1994,1732,Central Air,3,3,1,0.335,370400,Cale,Burley,Monticello,112.02,25,Average,1
1992,1485,Central Air,3,2,0,0.252,252600,Crozet,Henley,Western Albemarle,111,27,Average,1
1998,4958,Central Air,4,4,1,21.085,1467800,Meriwether Lewis,Henley,Western Albemarle,101,21,Average,1
1999,1299,Central Air,3,3,0,0.139,336800,Hollymead,Sutherland,Albemarle,103,20,Average,1
2006,2242,Central Air,3,3,0,15.5,583100,Red Hill,Walton,Monticello,112.02,13,Average,1
1972,1428,Central Air,3,1,1,0,165500,Agnor-Hurt,Burley,Albemarle,107,47,Average,0
2005,4935,Central Air,7,4,2,0.975,1020100,Stone-Robinson,Burley,Monticello,104.02,14,Average,1
1981,1819,Central Air,3,2,0,1.404,294900,Broadus Wood,Jouett,Albemarle,102.01,38,Average,1
1996,1536,Central Air,3,3,1,0.0814,224300,Agnor-Hurt,Burley,Albemarle,106.02,23,Average,1
2003,3129,Central Air,4,3,1,1.379,715100,Broadus Wood,Jouett,Albemarle,102.01,16,Average,1
1972,1791,Central Air,4,3,0,13.26,468700,Broadus Wood,Jouett,Albemarle,102.01,47,Average,1
1987,1614,Central Air,4,2,0,0.353,321800,Cale,Walton,Monticello,113.03,32,Average,1
2014,3953,Central Air,4,4,1,21,1277300,Red Hill,Walton,Monticello,112.02,5,Average,1
1983,1926,Central Air,4,3,0,1.512,324800,Broadus Wood,Jouett,Albemarle,102.01,36,Average,1
2006,768,Central Air,2,1,0,0.35,157300,Crozet,Henley,Western Albemarle,111,13,Average,0
1974,1486,No Central Air,4,3,0,4.68,292600,Stone-Robinson,Burley,Monticello,104.01,45,Average,1
1994,640,No Central Air,2,1,0,1.882,90100,Stone-Robinson,Burley,Monticello,104.01,25,Average,0
2006,1824,Central Air,3,2,1,0.063,305000,Brownsville,Henley,Western Albemarle,111,13,Average,1
1998,2067,Central Air,4,2,1,0.161,370700,Cale,Burley,Monticello,112.02,21,Average,1
1875,5281,Central Air,5,4,1,12.98,1110200,Brownsville,Henley,Western Albemarle,111,144,Average,1
2018,1680,Central Air,3,3,1,0.131,371300,Baker-Butler,Sutherland,Albemarle,102.01,1,Average,1
1992,1850,Central Air,3,3,0,2.341,233900,Scottsville,Walton,Monticello,114,27,Average,0
1973,1052,No Central Air,4,2,0,0.67,179900,Stone-Robinson,Burley,Monticello,104.02,46,Average,0
1997,1433,Central Air,2,2,0,0.213,232000,Crozet,Henley,Western Albemarle,111,22,Average,0
1988,1290,Central Air,2,2,1,0.941,386100,Murray,Henley,Western Albemarle,110,31,Average,1
1997,3078,Central Air,3,2,0,0.567,560900,Stone-Robinson,Burley,Monticello,104.02,22,Average,1
2019,1728,Central Air,3,3,1,0.035,331100,Cale,Walton,Monticello,113.03,0,Average,0
1994,2014,Central Air,4,2,1,0.297,372800,Baker-Butler,Sutherland,Albemarle,103,25,Average,1
1971,912,No Central Air,3,2,0,0.2089,187300,Baker-Butler,Sutherland,Albemarle,102.01,48,Average,0
2018,2384,Central Air,4,3,1,0.129,437700,Baker-Butler,Sutherland,Albemarle,102.01,1,Average,0
2004,3291,Central Air,5,4,0,1.183,654300,Brownsville,Henley,Western Albemarle,111,15,Average,1
1930,1030,Central Air,3,1,0,2.904,137300,Broadus Wood,Jouett,Albemarle,101,89,Average,0
2002,2232,Central Air,4,3,1,0.255,408100,Hollymead,Sutherland,Albemarle,103,17,Average,1
1998,2280,Central Air,4,2,1,0.295,407600,Hollymead,Sutherland,Albemarle,103,21,Average,1
1987,2166,Central Air,3,2,1,5.84,398900,Stone-Robinson,Burley,Monticello,104.02,32,Average,1
1977,1756,Central Air,3,2,1,0.593,251300,Broadus Wood,Jouett,Albemarle,102.01,42,Average,1
2012,3991,Central Air,4,5,1,21.731,1441400,Red Hill,Walton,Monticello,112.02,7,Average,1
1961,1564,No Central Air,3,2,1,0.436,248500,Brownsville,Henley,Western Albemarle,111,58,Average,0
1994,1456,Central Air,3,2,0,2.046,223300,Stone-Robinson,Walton,Monticello,113.01,25,Average,0
1981,1232,Central Air,3,1,1,0,171000,Woodbrook,Jouett,Albemarle,107,38,Average,0
2019,1728,Central Air,3,3,1,0.045,353000,Cale,Walton,Monticello,113.03,0,Average,1
1992,3970,Central Air,4,3,1,5.814,438100,Scottsville,Walton,Monticello,113.01,27,Average,1
1959,1897,Central Air,4,2,0,0.468,306400,Murray,Henley,Western Albemarle,112.02,60,Average,1
1993,1118,Central Air,3,2,0,0.093,243100,Cale,Walton,Monticello,113.01,26,Average,1
1996,2184,Central Air,3,3,1,0.344,401300,Cale,Walton,Monticello,113.03,23,Average,1
1968,1386,Central Air,4,2,2,0,218700,Greer,Jouett,Albemarle,108,51,Average,0
2012,2605,Central Air,3,3,1,2.14,677400,Meriwether Lewis,Henley,Western Albemarle,110,7,Average,1
1970,1912,No Central Air,3,2,1,0.3353,348300,Woodbrook,Jouett,Albemarle,106.01,49,Average,1
1840,1824,No Central Air,4,1,0,66.665,424500,Red Hill,Walton,Monticello,114,179,Average,1
2001,2921,Central Air,5,4,1,2,614400,Murray,Henley,Western Albemarle,112.01,18,Average,1
1986,1711,Central Air,3,2,0,2.441,290600,Stone-Robinson,Burley,Monticello,104.01,33,Average,1
1974,1191,Central Air,3,2,0,2.01,417000,Meriwether Lewis,Henley,Western Albemarle,110,45,Average,1
2005,4772,Central Air,4,5,1,2.773,1243200,Stone-Robinson,Burley,Monticello,104.01,14,Average,1
2019,2712,Central Air,4,3,0,0.099,492300,Agnor-Hurt,Burley,Albemarle,106.02,0,Average,0
1975,1242,Central Air,3,2,0,0.926,282800,Baker-Butler,Sutherland,Albemarle,103,44,Average,1
1974,1375,Central Air,3,3,0,0,347700,Meriwether Lewis,Henley,Western Albemarle,110,45,Average,1
1988,960,Central Air,3,1,0,0.64,121000,Scottsville,Walton,Monticello,113.01,31,Average,0
1991,1640,Central Air,4,3,1,0.369,295400,Meriwether Lewis,Henley,Western Albemarle,101,28,Average,1
1999,2303,Central Air,5,3,1,0.408,414800,Agnor-Hurt,Burley,Albemarle,106.02,20,Average,1
1971,1248,No Central Air,3,2,1,0,233800,Agnor-Hurt,Burley,Albemarle,107,48,Average,0
1972,1063,No Central Air,3,2,1,0,226900,Agnor-Hurt,Burley,Albemarle,107,47,Average,0
2000,1427,Central Air,3,2,0,0.348,239700,Crozet,Henley,Western Albemarle,111,19,Average,0
2005,2986,Central Air,4,2,1,0.258,439400,Brownsville,Henley,Western Albemarle,111,14,Average,1
2010,1402,Central Air,3,2,0,0.031,243500,Baker-Butler,Sutherland,Albemarle,103,9,Average,0
2002,2287,Central Air,4,3,1,0.176,439000,Brownsville,Henley,Western Albemarle,111,17,Average,1
1985,1288,Central Air,3,2,0,3.101,298000,Meriwether Lewis,Henley,Western Albemarle,101,34,Average,1
1989,2622,Central Air,3,2,1,1.754,402400,Stone-Robinson,Walton,Monticello,113.01,30,Average,1
1969,2060,Central Air,4,3,0,1.4042,406800,Woodbrook,Jouett,Albemarle,106.01,50,Average,1
2015,2630,Central Air,4,3,1,0.091,466900,Baker-Butler,Sutherland,Albemarle,103,4,Average,0
1988,1064,Central Air,2,1,1,0,191900,Cale,Walton,Monticello,113.03,31,Average,0
1968,2498,Central Air,4,3,0,2,756600,Murray,Henley,Western Albemarle,108,51,Average,1
1974,1377,Central Air,3,2,0,0.925,257700,Meriwether Lewis,Henley,Western Albemarle,101,45,Average,1
1986,2125,Central Air,3,2,0,2.886,263300,Baker-Butler,Sutherland,Albemarle,102.01,33,Average,1
1990,1212,Central Air,2,2,0,0.351,283800,Cale,Walton,Monticello,113.03,29,Average,0
1988,1202,Central Air,3,2,1,0.993,351800,Broadus Wood,Jouett,Albemarle,102.01,31,Average,1
1979,1008,No Central Air,4,2,0,0.2167,195600,Baker-Butler,Sutherland,Albemarle,102.01,40,Average,0
2006,2400,No Central Air,3,2,0,6.631,472500,Crozet,Henley,Western Albemarle,101,13,Average,0
2019,2490,Central Air,3,3,2,0.056,376600,Stone-Robinson,Burley,Monticello,105,0,Average,0
2002,2848,Central Air,4,2,1,0.379,469500,Cale,Burley,Monticello,112.02,17,Average,1
1993,2490,Central Air,4,4,0,7.7,518400,Broadus Wood,Jouett,Albemarle,102.01,26,Average,1
1967,3231,Central Air,3,4,0,34.47,897700,Stone-Robinson,Burley,Monticello,104.02,52,Average,1
1963,1080,No Central Air,3,1,0,0.456,235100,Crozet,Henley,Western Albemarle,111,56,Average,1
2005,2686,Central Air,4,2,1,4.38,467000,Red Hill,Walton,Monticello,113.01,14,Average,1
2005,3974,Central Air,4,3,1,0.918,607300,Stone-Robinson,Burley,Monticello,105,14,Average,1
1870,3776,Central Air,4,3,0,10.76,1485800,Agnor-Hurt,Burley,Albemarle,106.02,149,Average,1
1979,1776,Central Air,3,2,0,0.95,409900,Brownsville,Henley,Western Albemarle,111,40,Average,1
1995,2396,Central Air,3,2,1,5.015,417100,Crozet,Henley,Western Albemarle,112.01,24,Average,1
1973,1812,No Central Air,2,3,0,8,266500,Murray,Henley,Western Albemarle,112.01,46,Average,1
2006,1824,Central Air,3,2,1,0.051,303000,Woodbrook,Jouett,Albemarle,106.01,13,Average,1
2005,2688,Central Air,4,3,1,3.089,602300,Baker-Butler,Sutherland,Albemarle,104.01,14,Average,1
1987,2168,Central Air,3,3,0,2,452200,Broadus Wood,Jouett,Albemarle,102.02,32,Average,1
1979,2586,Central Air,3,3,0,10.015,540600,Crozet,Henley,Western Albemarle,101,40,Average,1
2012,1450,Central Air,3,2,1,0.04,262800,Stone-Robinson,Burley,Monticello,105,7,Average,0
1974,960,Central Air,3,1,0,1.59,152300,Stone-Robinson,Walton,Monticello,113.01,45,Average,1
1973,2304,Central Air,3,3,0,0.278,420400,Greer,Jouett,Albemarle,108,46,Average,1
1990,1348,Central Air,2,2,0,0.378,336700,Cale,Walton,Monticello,113.01,29,Average,1
1955,2516,Central Air,2,3,0,3.049,327000,Stone-Robinson,Burley,Monticello,104.01,64,Average,1
1977,1032,No Central Air,3,1,1,0.2966,199900,Baker-Butler,Sutherland,Albemarle,102.01,42,Average,1
2006,2431,Central Air,4,2,1,0.253,437500,Brownsville,Henley,Western Albemarle,111,13,Average,1
2006,3051,Central Air,5,4,1,0.464,667500,Cale,Walton,Monticello,112.02,13,Average,1
1960,702,No Central Air,1,1,0,5,279300,Meriwether Lewis,Henley,Western Albemarle,102.02,59,Average,1
1900,1984,Central Air,3,1,0,1,159400,Red Hill,Walton,Monticello,114,119,Average,1
1973,1428,Central Air,3,1,1,0,165500,Agnor-Hurt,Burley,Albemarle,107,46,Average,0
2005,3022,Central Air,4,4,0,3,566500,Brownsville,Henley,Western Albemarle,111,14,Average,1
1993,1893,Central Air,3,2,1,0.239,287700,Crozet,Henley,Western Albemarle,111,26,Average,1
1993,1240,Central Air,3,2,0,0.219,221800,Cale,Walton,Monticello,113.01,26,Average,0
1981,1332,Central Air,2,2,0,0.314,275000,Murray,Henley,Western Albemarle,110,38,Average,0
1991,1509,Central Air,3,2,2,7.188,341100,Stone-Robinson,Walton,Monticello,113.01,28,Average,1
1950,803,No Central Air,3,1,0,1,76800,Red Hill,Walton,Monticello,114,69,Average,1
2003,2146,Central Air,3,2,0,0.248,422100,Cale,Burley,Monticello,112.02,16,Average,1
1992,1369,Central Air,3,2,0,0.307,341700,Cale,Walton,Monticello,113.01,27,Average,0
2006,2498,Central Air,3,2,1,0.315,438100,Stony Point,Burley,Monticello,105,13,Average,1
1957,2214,Central Air,3,3,1,28.46,1162500,Meriwether Lewis,Henley,Western Albemarle,110,62,Average,1
1986,2624,Central Air,5,3,1,2.014,419400,Murray,Henley,Western Albemarle,110,33,Average,1
1991,1583,Central Air,4,2,0,0.133,248500,Cale,Walton,Monticello,113.03,28,Average,1
2004,1616,Central Air,3,2,1,0.058,244700,Brownsville,Henley,Western Albemarle,111,15,Average,0
1930,988,No Central Air,2,1,0,3.718,128300,Red Hill,Walton,Monticello,114,89,Average,0
