County,State,CKD_number,POP_total,Hypertension,Obesity,Heart_disease,Diabetes,Smoking,Food_Env_Index,Excessive_drinking,Unemployed,Median_household_income,POP_65,POP_Black,POP_White
RANDOLPH,Missouri,799,19384,21.65,38.2,8.1,11.7,22.7,7.4,18,4.2,48560,17,5.7,88.6
RAY,Missouri,1007,17740,25.76,35.7,8.3,12.3,23.3,8.2,19,6.5,68609,19.1,1.3,93.3
REYNOLDS,Missouri,247,5033,17.86,35.9,11,14.6,25.6,5.7,19,4.1,42611,23.4,1.1,93
RIPLEY,Missouri,1217,10326,20,37.5,11.3,15.6,28.6,6.5,18,5.5,37865,20.3,0.7,94.4
SALINE,Missouri,315,306516,22.73,33.7,5.9,9.4,14.9,8.8,23,3.5,92029,16.3,5.5,85.8
SCHUYLER,Missouri,389,7517,31.25,37.4,11.5,15.1,24.6,7.4,19,4.5,41754,26.2,0.7,94.4
SCOTLAND,Missouri,616,14008,20.83,33.5,8.9,12.3,21,7.4,20,3.4,63729,20.9,0.8,95.7
SCOTT,Missouri,420,52590,21.86,39.5,8.3,11.9,24.3,6.9,18,4.8,48557,16.9,4.3,91.8
SHANNON,Missouri,322,777418,23.08,29.9,6.8,10.4,15.2,8.3,21,4.5,72507,18.8,24.8,64.7
SHELBY,Missouri,245,17775,20.93,36.8,8.6,12.8,21.6,6.8,18,3.5,51994,18.7,4.9,78.3
ST. CHARLES,Missouri,717,3443,34.63,37.2,9.7,13.2,23.9,4.2,19,4.3,49163,19.2,0.2,96.3
ST. CLAIR,Missouri,95,3503,32.5,33.9,10,13.5,25.1,8.3,19,2.6,48665,19.5,0.1,96.9
ST. FRANCOIS,Missouri,666,29205,30.64,39.1,9,13.1,23.8,7,17,3.9,49257,18.8,12,82.7
ST. LOUIS,Missouri,429,6430,33.09,37.1,11.8,16,27.3,6.3,17,5.6,36683,22.8,0.5,92.9
ST. LOUIS CITY,Missouri,357,4593,32.29,34.5,9.5,13.2,24.1,6.7,18,3.3,50838,22.3,1.1,94.4
STE. GENEVIEVE,Missouri,250,22855,34.29,38.6,9.6,14,28.3,7.2,18,4.5,46818,20.3,1.4,94.6
STODDARD,Missouri,334,26542,19.73,33.6,11.2,15,22,7.4,19,6.6,53039,31.7,0.5,94
STONE,Missouri,652,4825,37.69,37,9.6,14.1,22.7,7.5,18,4.9,46864,20.3,2.6,76.5
SULLIVAN,Missouri,533,44078,16.13,34,9.4,13.4,21.6,5.4,19,7.5,47210,22.8,1.6,87.9
TANEY,Missouri,1447,20139,25.47,42.8,10.7,14.8,26.8,6.8,18,4.6,41483,21.3,3.5,90.7
TEXAS,Missouri,498,15687,21.85,35.7,9.2,12.9,23.8,6.5,18,3.4,48273,20.3,1,93.2
VERNON,Missouri,345,26457,20.55,33.8,8.3,12.2,21.8,8,20,4.1,71073,18.2,2.3,91.3
WARREN,Missouri,304,19255,32.39,36.7,9.5,13.7,26.6,6.5,19,5.1,44063,17.6,2.5,93.6
WASHINGTON,Missouri,346,10424,33.33,36.9,12.1,16.6,28.7,4.9,18,5,41271,24.4,0.8,94.2
WAYNE,Missouri,497,28446,10.59,36.6,8.6,12.4,23.4,7.9,18,3.4,59303,15.7,1,93.8
WEBSTER,Missouri,458,1625,32.38,32.4,10.2,13.5,22.2,7.7,20,2.5,45477,26.4,1,95.8
WORTH,Missouri,1054,13675,27.78,38.9,11.3,15.5,28.2,6.4,17,4,41748,19.9,0.7,93.9
WRIGHT,Missouri,1066,245312,29.03,37.8,6.9,13.4,19.4,7.2,18,6.4,49246,15.1,43.9,45.5
BEAVERHEAD,Montana,461,7767,40,26.6,7.6,10.1,17.5,8.1,25,2.8,53776,23.5,0.4,89.2
BIG HORN,Montana,1916,8859,13.51,38,9.3,16.2,28.1,5.4,22,7.8,47179,13.8,0.4,25.9
BLAINE,Montana,796,4792,23.08,34.6,9.4,15,25.3,5.5,24,3.8,46335,15.7,0.5,42.8
BROADWATER,Montana,864,4874,23.53,29.8,8.1,11.1,17.6,8.8,25,4,66307,23.5,0.6,92.3
CARBON,Montana,143,8845,24.39,26.6,8,10.9,15.9,8.6,25,3.4,62841,26.8,0.7,93.1
CARTER,Montana,268,986,11.11,29,9.1,11.9,18.1,5.5,25,2.6,52116,27.5,0.2,95
CASCADE,Montana,611,63354,23.57,37.2,7.2,10.6,18.6,7.8,20,3.3,57085,19.3,1.5,84.2
CHOUTEAU,Montana,563,4407,21.74,33.7,8.9,12.8,19.7,6.7,25,2.7,51113,22.3,0.2,76.7
CUSTER,Montana,197,9114,34.43,27.6,7.4,10.4,17,8.3,24,3.1,54913,20.3,0.8,90.4
DANIELS,Montana,423,1373,25,29.4,8.8,11.3,17.2,9,26,1.9,52852,27,0.2,90.3
DAWSON,Montana,7497,6796,18.6,37.1,7.2,9.8,17.6,7.6,26,3.1,70252,20.7,0.7,91.6
DEER LODGE,Montana,307,7820,31.48,30.6,9.4,13.1,22.2,7.5,24,3.3,45725,25.6,0.5,89.1
FALLON,Montana,461,2129,9.09,32.6,7.1,9.9,18.3,8.6,26,2.6,63793,18.7,0.3,94.7
FERGUS,Montana,1641,8796,34.38,29.6,8.5,11.5,17.2,7.5,24,3.3,54823,24.7,0.4,93.3
FLATHEAD,Montana,22399,79631,21.13,27.5,7.5,9.7,17.1,8.6,26,4,65835,20.5,0.3,92.1
GALLATIN,Montana,599,89451,15.81,22.8,4.7,6.8,12.9,9,24,2.4,78910,13.3,0.4,90.6
GARFIELD,Montana,122,987,0,34.2,8.3,11.3,19.1,7.8,25,2.6,49898,24.1,0.5,96.4
GLACIER,Montana,130,9458,22.22,38.7,9.7,16.3,28,5.8,22,7,44777,12.8,0.3,29.8
GOLDEN VALLEY,Montana,1019,651,50,31.5,9.1,12.3,19,4.7,24,3.5,43820,30.1,0.5,89.2
GRANITE,Montana,274,2861,26.32,31.1,9.2,12.3,17.7,5.3,24,4.4,52984,30.5,0.5,93.5
HILL,Montana,161,11828,16.92,38.1,7.8,11.2,20,6.5,24,3.1,54377,15.5,0.5,67.8
JEFFERSON,Montana,803,9631,20,29,7.2,10.5,15.6,8.4,27,3.2,68128,23.3,0.5,91.6
JUDITH BASIN,Montana,1081,1574,15.38,32.4,9.2,12.4,17.4,6.4,25,2.7,51392,28.9,0.1,94.7
LAKE,Montana,174,23188,19.05,33.7,9.1,13.3,19.5,8.3,24,3.8,50978,23.4,0.5,65.1
LEWIS AND CLARK,Montana,1552,53930,23.17,26.5,6.7,9.8,14.8,8.8,24,3,67702,19.7,0.5,90.7
LIBERTY,Montana,795,1914,11.11,31.7,9,11.8,22.3,6.3,23,2.4,49277,23.4,0.5,94.9
LINCOLN,Montana,543,16185,13.83,30.8,10.6,14.3,20.6,7.6,24,6,48156,29.9,0.5,92.1
MADISON,Montana,829,1336,14.81,30.8,8.6,11.3,17.5,8.6,26,1.8,51881,28.1,0.6,94.2
MCCONE,Montana,682,7399,33.33,27.8,8.3,11.2,14.8,8.3,27,3.2,62516,30.2,0.6,91.8
MEAGHER,Montana,455,1505,50,31.3,10.1,13.3,17.4,4.8,24,2.5,45391,30.5,0.5,95.1
MINERAL,Montana,930,3535,19.44,32.4,10.8,14.5,20.5,7,23,5.3,50327,28.9,0.5,90.9
MISSOULA,Montana,61,96476,17.3,22.3,5.8,8.2,14.2,8.4,25,3.4,65682,16.7,0.5,88.5
MUSSELSHELL,Montana,565,3787,33.33,35.1,10.7,14.5,19.9,7.5,24,4.2,54003,28,0.8,89.7
PARK,Montana,8129,13791,23.19,24.6,7.5,10.2,16,7.7,25,3.5,59113,24,0.4,92.6
PETROLEUM,Montana,242,421,0,28.8,8.6,11.3,18.5,6.3,24,2.6,48141,28.5,0.2,94.2
PHILLIPS,Montana,360,3106,17.65,33.4,9.5,12.8,20.2,7.7,23,3.8,53626,23.6,0.1,82.8
PONDERA,Montana,195,4540,24.14,30.5,8.7,12.4,19.6,7.2,24,3.2,47900,21.1,0.5,80.8
POWDER RIVER,Montana,159,1429,14.29,28.5,9.1,12,17.8,7,24,2.7,52298,30.1,0.1,92.2
POWELL,Montana,290,5948,33.33,31.7,8.1,11.3,20.8,8,27,2.6,47687,20.4,1.2,87.6
PRAIRIE,Montana,36,899,0,29,9.8,12.8,20.7,5.1,23,3.6,46328,34.4,0.5,88.6
RAVALLI,Montana,1920,34926,12.8,29.5,9,12.1,17.3,8.7,25,3.6,60030,26.7,0.4,92
RICHLAND,Montana,159,8156,29.17,35,6.3,9.4,17.7,8,26,4,63148,16.4,0.7,88.5
ROOSEVELT,Montana,278,7354,24.32,38.7,8.8,14.9,29.8,6.8,22,4.2,47266,11.8,0.4,32.3
ROSEBUD,Montana,48,6439,24.24,32.2,8.4,12.6,21.8,7.4,23,4,61331,16.9,0.3,53.2
SANDERS,Montana,201,9768,11.76,29,11.7,15.5,21.8,6.9,24,4.8,50270,32,0.3,89.7
SHERIDAN,Montana,294,2726,19.23,31.9,8.2,11,17.9,7.9,28,3.3,56095,24.7,0.4,90.8
SILVER BOW,Montana,62,27906,24.06,30.8,7.8,11.2,19.2,8.2,25,3.6,52495,19.3,0.5,90
STILLWATER,Montana,301,7458,19.51,32,7.8,10.9,16.1,9.2,25,2.9,75820,24.4,0.2,91.9
SWEET GRASS,Montana,2421,2976,23.53,28.8,8.5,11.3,17.4,9.1,26,2.4,61454,28.2,0.4,92.7
TETON,Montana,1955,4662,16.67,29,8.6,11.5,18.4,7.1,24,3.1,59787,22.7,0.3,92.6
TOOLE,Montana,32,3853,21.43,32.9,8.4,11.6,20.4,8,25,2.6,49297,18.8,1.3,85.7
TREASURE,Montana,398,537,25,31.1,10.1,13.4,18,4.2,24,3.2,58275,30.1,0,89.1
VALLEY,Montana,23,5734,28.3,33.5,8.6,12.3,20.4,7.4,25,3.1,55338,23.7,0.4,84.8
WHEATLAND,Montana,103,1682,9.09,31.4,10,13.2,22.3,6.6,24,5.3,42431,26.1,0.4,89.9
WIBAUX,Montana,388,813,0,31.8,9.8,13,17.8,4.8,25,3.8,51924,25.9,0.6,91.2
YELLOWSTONE,Montana,291,122508,30.09,29.1,6.5,9.2,17.6,8.6,23,3.2,69182,17.6,0.6,85.2
ADAMS,Nebraska,57,24051,33.57,38.4,7.3,10.5,16.5,7.3,21,2.4,57136,18.8,1.1,84.1
ANTELOPE,Nebraska,893,4825,14.55,37.3,8.9,12.1,17.7,8.3,26,1.7,57413,24.4,0.4,94.2
ARTHUR,Nebraska,1531,345,100,36.5,7.8,10.7,17.5,4.6,23,2.6,58677,21.4,0,94.1
BANNER,Nebraska,69,558,0,37.8,8.4,11.9,15,6.4,23,2.1,59863,23.8,1.7,89.9
BLAINE,Nebraska,670,385,33.33,35.7,8.1,11.2,16.3,6.2,24,2.4,53541,20.4,0.4,95
BOONE,Nebraska,45,4023,43.75,35.2,8.5,11.1,17.8,8.7,25,1.6,64705,23,0.6,95.1
BOX BUTTE,Nebraska,246,8068,19.57,35.3,7.5,11.3,18.5,7.6,24,2.4,65493,20.6,0.9,80.1
BOYD,Nebraska,59,1584,9.09,36,9.7,12.7,17.3,7.5,23,2,51107,29.9,0.1,93.7
BROWN,Nebraska,148,2340,18.75,38.4,10,13.3,16.7,8.4,24,2.3,52738,25.9,0.6,91.4
BUFFALO,Nebraska,2446,37978,30.84,35.1,6,8.9,16,7.8,24,2,65721,15.8,1.1,85.8
BURT,Nebraska,156,5036,24.39,38.7,9.1,11.8,18.6,8.4,24,2.4,61317,24.8,0.7,91.4
BUTLER,Nebraska,427,6190,25,34.9,7.8,11,17.1,8.5,24,2.2,66416,20.7,0.7,91.9
CASS,Nebraska,14,19860,35.71,44.2,6.9,9.7,16.1,8.7,24,2.7,77771,18.2,0.7,92.8
CEDAR,Nebraska,118,6296,18.42,36.9,7.9,10.3,15.6,8.7,26,1.8,64037,22.4,0.5,95.5
CHASE,Nebraska,162,2959,21.05,37.3,7.8,10.9,16,8.2,23,1.6,59492,21.3,0.5,82.6
CHERRY,Nebraska,52,4407,7.14,35.2,8.6,11.6,18.6,7.5,23,1.6,53533,22.4,0.4,85.1
CHEYENNE,Nebraska,189,7126,20,36.8,7.2,10.4,16.8,7.8,24,2.8,54772,21.8,0.8,87.4
CLAY,Nebraska,34,4681,37.04,38.5,8.3,11.5,17,8.1,24,2.3,64315,21.2,0.7,88.3
COLFAX,Nebraska,1257,7651,47.37,41.9,7.4,11.9,16.7,8.2,19,1.9,69498,14.1,4.7,46.9
CUMING,Nebraska,215,6729,17.78,38.3,7.9,10.5,16.9,8.7,24,1.7,66165,22.1,0.4,86.8
CUSTER,Nebraska,285,8241,26.47,38.5,8.5,11.5,16.4,7,24,1.6,56531,22.7,0.8,93.4
DAKOTA,Nebraska,226,14354,23.68,36.4,6.9,12.4,16.3,8.2,18,3,64231,14.1,7.4,44.3
DAWES,Nebraska,436,7185,3.7,31.6,6.3,8.6,16.3,7.8,23,1.9,50905,19.6,2,83.8
DAWSON,Nebraska,90,17256,31.87,37.5,7.7,12.5,17.3,7.3,20,2.1,61817,17.1,6.9,56
DEUEL,Nebraska,895,1429,9.09,36.6,8.9,12.4,17.2,7.9,24,2.1,51583,27.5,0.4,89
DIXON,Nebraska,231,4250,22.22,37.4,7.7,11.1,17.1,7.8,24,2.1,64943,21.4,0.6,81.9
DODGE,Nebraska,100,27808,23.81,33.7,7.6,10.6,18.9,7.8,22,2.4,59872,19,1,81
DOUGLAS,Nebraska,163,421630,29.56,32.6,5.3,10.1,15.2,8.4,23,3,69475,13.8,11,68.1
DUNDY,Nebraska,130,1431,15,37.3,9.8,13.1,17.1,7,22,1.6,52916,26.2,1,87.2
FILLMORE,Nebraska,21,4429,25.81,39.7,8,11,16.5,8.3,24,1.9,65739,23.1,0.8,92.9
FRANKLIN,Nebraska,200,2437,22.73,36,9.6,12.8,18.8,6.8,24,2.2,54192,27.7,0.4,94.5
FRONTIER,Nebraska,66,2114,20,36.3,8.1,10.9,16.7,7.7,24,1.7,53735,24.7,0.5,94.3
FURNAS,Nebraska,31,3685,12.82,36.3,9.1,12.4,18.2,8.6,23,1.9,54308,25.8,0.8,92.1
GAGE,Nebraska,3420,16654,27.21,38.3,8.1,11.3,19.2,7.4,24,2.4,56261,21.6,0.7,93.4
GARDEN,Nebraska,723,1525,16.67,34.4,9.3,12.4,17.5,7.7,23,2.1,53240,29.1,0.3,90.6
GARFIELD,Nebraska,168,1622,13.33,33.1,9.1,11.9,15.1,8.7,24,2,51055,28.9,0.3,97.4
GOSPER,Nebraska,11,1549,11.11,32.8,7.5,10.4,15.2,8,23,1.7,67263,24.7,0.8,91.1
GRANT,Nebraska,19,498,20,37.7,9.1,12.6,18.4,6.3,23,1.4,64244,26.1,0.3,96
GREELEY,Nebraska,12,1820,10,35.7,8.7,11.5,17.9,6.5,23,1.9,53225,25.8,0.7,95.6
HALL,Nebraska,135,44687,25.48,37.3,6.7,11,17.3,7.8,20,2.9,60751,15.4,3,63.6
HAMILTON,Nebraska,252,7046,21.21,33.2,6.8,9.8,15.1,9,23,2.1,73024,20.5,0.3,93.8
HARLAN,Nebraska,59,2680,20,36.4,9.3,12.5,17.1,8.5,23,1.9,58928,27.2,0.5,95.1
HAYES,Nebraska,91,710,,38.4,11,14.1,18.1,3.9,23,1.3,57060,27.3,0.7,90.4
HITCHCOCK,Nebraska,973,2166,14.81,39.5,9.3,13.1,18.7,4.5,23,2.3,50300,25.7,0.5,93.4
HOLT,Nebraska,179,7619,21.43,36.3,8.2,11.1,16.3,8.1,24,1.7,61415,22.6,0.5,92.5
HOOKER,Nebraska,191,531,25,34.3,9.7,12.5,15.4,5.1,23,1.6,52254,28.9,0,95.1
HOWARD,Nebraska,553,4897,29.23,38,7.9,10.9,16.8,8.3,25,2.2,70906,21.5,0.6,94.3
JEFFERSON,Nebraska,200,5533,33.33,38,9.2,12.6,18.7,7.4,25,1.8,57098,24.2,0.5,92.2
JOHNSON,Nebraska,96,4168,28.57,38.3,7.6,11,18.3,8.2,25,2.9,50886,18.6,7.1,78.3
KEARNEY,Nebraska,152,4933,27.27,36.8,7.5,10.6,17,8.8,24,1.8,72694,20.3,0.3,90.3
KEITH,Nebraska,215,6436,15,35.6,9,12.4,18.6,7.6,22,2,53637,27.1,0.9,88.5
KEYA PAHA,Nebraska,155,652,0,32,9.9,12.7,18.9,6.4,24,1.7,49421,31.9,0,97
KIMBALL,Nebraska,245,2837,32,37.9,9.6,13,20.4,8.1,22,2.2,52460,25.8,0.6,85.3
KNOX,Nebraska,217,6380,30.51,38.4,8.9,12.2,17.3,7.5,23,2,54189,25.2,0.4,83.7
LANCASTER,Nebraska,275,244760,30.33,31.4,5.4,8.5,15,8.2,24,2.4,65436,14.9,4.1,80.1
LINCOLN,Nebraska,445,26926,26.63,41.2,7.6,11.1,17.8,8.3,21,2.2,61702,20.6,1.1,86.5
LOGAN,Nebraska,190,555,36.36,36.3,8.5,11.7,17.2,8.3,23,1.7,61004,23.6,0.4,90.8
LOUP,Nebraska,559,501,25,36.2,8.8,12.7,16.7,7.5,23,2,53369,28,1.3,94.5
McPherson,Nebraska,134,26423,,32.9,7,10.2,17.5,7.8,23,2.4,61263,16.6,1.2,78.3
MADISON,Nebraska,50,401,25.95,35.4,9,12.2,16.7,5.3,23,1.6,54138,26.6,0.5,95.8
MERRICK,Nebraska,877,5989,23.4,41,8,11.6,18,7.4,24,2.3,64309,21.3,0.5,91.4
MORRILL,Nebraska,10910,3605,17.39,36,8.3,12.2,17.3,6.9,23,2.5,52933,22.1,0.5,80.3
NANCE,Nebraska,56,2741,25.93,38.1,8.1,11.5,17.8,8.5,25,1.9,56880,21.4,0.6,93.9
NEMAHA,Nebraska,142,5450,27.03,35.6,7,10.3,17.5,8.2,22,2.2,56658,20.2,1.6,92.8
NUCKOLLS,Nebraska,90,3357,32.5,37.4,9.6,12.5,17.3,7.5,24,1.8,59602,27.2,0.2,93.2
OTOE,Nebraska,68,12151,20.48,36.4,7.3,10.8,16.3,6.6,22,2.3,67595,20.3,1,88
PAWNEE,Nebraska,133,2063,40,37.1,10.6,13.7,21.4,7.6,22,1.8,50501,28.3,0.9,94
PERKINS,Nebraska,537,2196,30,31.1,7.6,10,15.5,8.4,23,1.4,61156,24.3,0.5,93.3
PHELPS,Nebraska,56,6859,14.58,35.9,7.3,10.3,16.3,8.1,23,1.7,66986,20.2,0.4,90.8
PIERCE,Nebraska,58,5381,25,32.7,7.4,10.3,16.4,7.9,25,2.1,64607,19.9,0.5,95.5
PLATTE,Nebraska,47,24667,43.53,36.3,6.8,10.5,15.5,8.7,26,2.1,70177,17.8,1.1,74.6
POLK,Nebraska,18,4083,16.67,36.6,8,10.9,17.1,8.8,25,1.9,69503,23.1,0.3,91.5
RED WILLOW,Nebraska,63,8378,19.4,34.2,8,10.9,17.3,6.8,23,2,63958,21.2,1.3,90.6
RICHARDSON,Nebraska,1331,6265,17.91,41.2,9,12.2,20,7.5,21,2.4,54044,24.3,0.5,91
ROCK,Nebraska,198,1089,37.5,36.2,8.7,11.8,15.4,8.2,23,1.3,53120,28.6,0.2,96.9
SALINE,Nebraska,97,10737,33.33,34.6,7.2,11.1,17.7,7.8,21,2.3,63187,15.4,1.1,67.3
SARPY,Nebraska,29,133908,28.85,37,4.9,8,12.5,8.5,20,2.4,88913,12.5,4.1,79
SAUNDERS,Nebraska,80,16129,20,36.5,6.9,10.2,15.6,8.4,27,2.2,78689,18.3,0.6,94.4
SCOTT BLUFF,Nebraska,246,26988,21.67,39.2,8,12.8,17.1,8.2,19,2.8,53206,19.7,0.8,70.6
SEWARD,Nebraska,20,13230,20.29,34.8,6.2,8.6,15.5,8.2,23,2.5,75305,17.7,0.7,94.4
SHERIDAN,Nebraska,154,4041,17.65,35.2,9.8,13.8,20.1,6.8,22,1.8,47543,26.4,0.5,80.3
SHERMAN,Nebraska,199,2400,25,35.6,9,12,17.1,8.1,25,2.1,54771,27.1,0.5,95.2
SIOUX,Nebraska,128,966,0,32.4,9.6,12.2,18.4,6.8,22,1.8,46834,30.2,0.2,92
STANTON,Nebraska,152,4471,25,31.3,7.2,10.6,16.6,9,24,2.1,71709,19.2,0.8,90.5
THAYER,Nebraska,229,3882,23.53,35.3,8.4,11.4,17.7,8.2,23,1.7,56626,25,0.5,94.2
THOMAS,Nebraska,25,548,75,36,8.5,11.9,14.9,5,25,2.6,53019,29,1.2,92.9
THURSTON,Nebraska,108,4662,21.74,46.4,8.8,14.7,25.9,7.5,22,3.3,52202,12,0.4,33.9
VALLEY,Nebraska,228,3230,27.27,35,8.8,11.6,15.6,8.4,25,2.1,52336,24.9,0.4,94.5
WASHINGTON,Nebraska,5981,15650,21.35,33.8,6.4,9.4,15.3,8.5,26,2.3,100572,18.5,0.8,94.1
WAYNE,Nebraska,817,7521,17.39,35.5,6.2,8.4,15.1,8.7,26,1.9,59787,16.7,1.7,88.7
WEBSTER,Nebraska,19,2758,22.22,38.3,8.5,11.6,17.7,7.5,23,2,58161,22.6,0.6,90.9
WHEELER,Nebraska,18,649,14.29,36.4,9.9,13.3,17.7,5.4,23,1.2,50850,28.4,0,94.8
YORK,Nebraska,14,10533,28.07,41.1,7.1,10.2,15.9,8.3,24,1.9,64531,20.7,1.6,90.5
CARSON CITY,Nevada,785,18866,30.28,31.4,8.1,11.9,19.7,7.9,21,3.5,67716,19.1,2.3,71.3
CHURCHILL,Nevada,192,1714018,34.23,31.5,7,11.9,16.8,7.3,19,8.3,63735,15.4,12.3,39.7
CLARK,Nevada,121,40550,33.69,28,9,12,16.9,7.4,24,4.5,74053,31.3,0.7,79.9
DOUGLAS,Nevada,90,38162,23.73,31.1,6.4,9.7,19.4,8.4,23,3.3,81466,12.7,1,65.4
ELKO,Nevada,159,700,23.91,34.6,14.3,18.1,22.9,3.6,20,3.8,53509,32.6,3.6,63.8
ESMERALDA,Nevada,125,1527,14.29,31.5,7.7,11.2,21.5,7.6,22,2.6,80084,18.1,1.4,77.2
EUREKA,Nevada,372,12249,20,31,7.3,10.9,20,8.2,21,3.4,77018,15,0.9,63.9
HUMBOLDT,Nevada,83,4093,20.9,32.1,8.1,11.9,21.7,8.5,21,3.6,85773,16.4,0.9,69.1
LANDER,Nevada,67,4170,21.05,30.3,8.9,11.6,20.1,7.4,22,3.4,64304,24.1,2.8,83.9
LINCOLN,Nevada,208,43862,19.44,32,8.9,12.4,20.6,7.4,23,5.2,71547,21.4,1.2,72
LYON,Nevada,161,3626,23.35,37.1,11.2,16.1,25.4,4.7,19,3.8,53515,25.2,4,59.8
MINERAL,Nevada,716,37728,37.04,32.2,11.4,15.5,22.4,4.1,22,6.1,59282,30.6,3.5,73.2
NYE,Nevada,133,5580,39.79,34.4,8,11.7,20.7,8.5,23,3.6,52412,16.9,4.3,63.8
PERSHING,Nevada,269,3543,30.43,31.7,9.6,13.1,16.6,8.6,23,4.6,79281,33.1,1.6,82.2
STOREY,Nevada,226,364959,57.14,25.5,6.9,9.8,17.4,7.8,23,4.3,76123,17.2,2.4,60.9
WASHOE,Nevada,37,7591,28.27,34.3,8.3,11.7,21.3,7.5,21,3,63070,19,4.6,70.3
WHITE PINE,Nevada,329,44171,16.13,35.9,8.6,12.5,18.4,8,20,4.8,64869,21,2.1,65.1
BELKNAP,New Hampshire,2981,49741,18.52,30.2,8,11.3,16.8,8.7,22,3.7,75781,23.2,0.6,94.5
CARROLL,New Hampshire,458,41120,22.81,29.1,8.8,12.7,15.1,8.8,22,3.8,66874,29.4,0.6,95.4
CHESHIRE,New Hampshire,903,62808,23.72,31.5,7,10.5,15.4,8.5,22,3.9,67883,21.4,0.7,93.5
COOS,New Hampshire,351,26450,21.51,37,9.4,13.1,19.8,7.8,23,4.4,53602,24.8,0.9,94.2
GRAFTON,New Hampshire,160,75264,22.19,26.2,6.7,9.7,14.9,8.6,20,3.3,77378,22.1,1.3,90
HILLSBOROUGH,New Hampshire,85,330618,26.65,29,5.9,9.9,14.1,8.7,21,3.6,90806,16.7,2.7,82.8
MERRIMACK,New Hampshire,35,122183,20.56,27,6.4,9.8,15.3,8.9,22,3.2,80842,19.3,1.7,91.7
ROCKINGHAM,New Hampshire,133,249181,26.17,28.6,6.4,9.4,14,8.9,23,3.5,104281,19.2,0.9,91.6
STRAFFORD,New Hampshire,131,105954,27.87,29.9,6,9.7,16.3,8.4,22,3.3,91928,16,1.3,89.7
SULLIVAN,New Hampshire,19,34969,18.18,29.5,7.7,11.5,17.9,8,21,3.3,64919,23,0.7,94.1
ATLANTIC,New Jersey,179,209082,29.68,30.2,7.6,12.7,16.7,7,18,9.5,65693,19.3,14.4,55.5
BERGEN,New Jersey,111,738337,23.47,21.8,5.9,9.9,10.5,9.1,19,6,104777,17.8,5.5,53.6
BURLINGTON,New Jersey,428,352732,28.27,30.6,6.4,10.4,12.8,8.8,19,5.3,94043,17.7,17.2,65.1
CAMDEN,New Jersey,196,391988,30.82,29.3,6.6,12,15.2,8.1,20,6.8,77675,16.3,18.7,54.5
CAPE MAY,New Jersey,94,76345,23.75,31.4,8.8,12.2,14.9,7.4,23,8.9,74896,28.2,4,84.8
CUMBERLAND,New Jersey,25,114865,28.4,39.8,8,13.4,19.1,7.2,19,7.7,58030,15.9,18.6,44.3
ESSEX,New Jersey,311,610790,27.54,30.2,6.5,13,14.4,8.2,17,8,66191,14.2,38,29.8
GLOUCESTER,New Jersey,609,227968,26.59,34.7,6.1,10.1,13.4,8.5,22,6,93783,16.7,10.7,76.5
HUDSON,New Jersey,53399,537840,24.04,24,5.4,11.1,11.9,8.3,20,6.8,79159,12.6,11,28.4
HUNTERDON,New Jersey,1426,100617,26.35,28.4,6.2,9.1,10.3,9.4,22,4.6,122095,20.1,2.8,83.1
MERCER,New Jersey,1036,291116,25.14,30.5,6.1,11.3,12.3,8.7,18,5.2,86499,16,19.3,46.7
MIDDLESEX,New Jersey,36,649495,26.08,25.7,5.6,11.2,11.1,8.7,18,5.7,98992,15.9,10.2,39.9
MONMOUTH,New Jersey,46,489631,25.73,29.6,6.3,9.9,11.3,8.7,23,5.5,107500,18.7,6.5,74.9
MORRIS,New Jersey,366,389906,24.86,25.6,5.6,8.7,9.8,9.1,20,5,122525,17.8,3.4,69.3
OCEAN,New Jersey,133,457404,29.58,27.3,8.3,11.3,15.3,7.9,22,6,75732,22.4,3.2,83.7
PASSAIC,New Jersey,139,383450,23.63,31,6.8,12.3,13.4,8.2,18,8.4,74016,15.3,9.8,39.5
SALEM,New Jersey,1548,49228,29.7,31,8,12.7,17.7,7.6,20,7.3,69844,19.1,13.6,72.3
SOMERSET,New Jersey,159,258649,24.22,26.2,5.5,9.5,9.5,9.3,19,5.1,123708,16.7,9.6,52.8
SUSSEX,New Jersey,1624,112925,31.67,26.2,6.3,9.6,13.4,8.7,24,5.9,99695,18.7,2.5,83.3
UNION,New Jersey,174,427545,24.08,27.9,6.1,11.6,12.2,9,19,6.7,85926,14.9,20.8,38.3
WARREN,New Jersey,130,84964,32.17,32,6.8,10.1,13.9,8.2,23,5.5,82900,19.2,5.9,78.1
BERNALILLO,New Mexico,10881,531331,29.04,27.3,6.2,11.4,14.3,7.6,17,6.2,59723,17.4,2.7,37.3
CATRON,New Mexico,242,3141,14.29,29.6,12.8,17.3,22.2,2.5,16,6.2,40273,42.5,1,73.4
CHAVES,New Mexico,1533,47645,27.57,34,8,13.3,17,6.4,15,7.1,45098,16,1.5,36.1
CIBOLA,New Mexico,1508,20437,26.39,40.1,9.3,16.9,23.3,4.9,15,9.3,42862,17,1.2,18
COLFAX,New Mexico,1421,9912,19.75,30.8,10,15.8,17.4,6.1,16,5.9,42787,28.3,0.6,46.8
CURRY,New Mexico,1781,36443,25.47,33.3,6.6,11.4,18.5,6.7,16,4.9,50322,13.1,5.6,44.8
