A_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,A_Depth,A_Ag,A_Al,A_As,A_Ba,A_Be,A_Bi,A_C_Tot,A_C_Inorg,A_C_Org,A_Ca,A_Cd,A_Ce,A_Co,A_Cr,A_Cs,A_Cu,A_Fe,A_Ga,A_Hg,A_In,A_K,A_La,A_Li,A_Mg,A_Mn,A_Mo,A_Na,A_Nb,A_Ni,A_P,A_Pb,A_Rb,A_S,A_Sb,A_Sc,A_Se,A_Sn,A_Sr,A_Te,A_Th,A_Ti,A_Tl,A_U,A_V,A_W,A_Y,A_Zn
C-300020,10089,NH,43.2164,-71.5372,7/7/2007,Planted/Cultivated,Urban/Recreational Grasses,0-5,<1,4.58,5.1,382,2.6,0.19,1,N.D.,1,0.52,0.1,39.1,7.1,22,<5,12.4,1.92,11.4,0.01,0.03,1.81,18.6,28,0.35,656,0.53,1.03,7.3,11.3,490,25.3,97.7,0.03,0.21,8.2,<0.2,2.4,120,<0.1,6.3,0.16,0.5,2.3,38,0.7,12.6,46
C-300002,11113,NH,43.1703,-71.9956,7/8/2007,Forested Upland,Mixed Forest,0-13,<1,3.49,2.4,377,1.1,0.16,5.24,N.D.,5.24,0.5,0.1,28.9,1.7,15,<5,7.3,1.38,11,0.07,0.03,1.06,13.9,7,0.12,375,0.69,0.67,8.7,5,270,34.1,38.2,0.03,0.34,4.9,0.5,1.8,75.8,<0.1,4.6,0.33,0.2,0.9,32,0.5,8.3,24
C-300037,11817,NH,43.9555,-71.9508,7/7/2007,Forested Upland,Mixed Forest,0-5,<1,5.91,3.8,766,1.8,0.26,2.59,N.D.,2.59,1.09,0.2,45.1,8.2,38,<5,14.9,2.78,13.6,0.04,0.05,1.79,21.1,19,0.75,540,1.17,1.51,8.8,16.4,550,32.1,75.6,0.02,0.21,10.8,0.2,2.1,189,<0.1,6.7,0.32,0.5,1.5,70,1.6,12.8,62
C-299960,12585,NH,43.9956,-71.3373,7/6/2007,Forested Upland,Mixed Forest,0-13,<1,4.26,5.7,172,3.7,0.15,4.77,N.D.,4.77,0.14,0.1,30.8,0.4,7,<5,9.2,0.82,20.4,0.09,0.03,2.58,13.6,10,0.03,136,1.22,1.19,45.3,3.9,480,24.4,202,0.03,0.28,1.1,0.4,2.8,38.2,<0.1,17,0.11,0.9,4.3,9,1.9,8.9,22
C-300034,13161,NH,43.0498,-71.4878,7/7/2007,Forested Upland,Mixed Forest,0-5,<1,3.79,9.2,268,1.9,0.35,11.9,N.D.,11.9,0.34,0.1,24.4,1.6,16,<5,6,1.25,13,0.11,0.03,1.34,12.6,16,0.11,240,0.94,0.87,8.4,5,440,75.5,71.6,0.05,0.64,4,0.8,4.5,82.2,<0.1,4.2,0.23,0.5,1.5,44,0.9,5,24
C-320950,2292,NJ,40.3259,-74.2198,7/9/2008,Forested Upland,Deciduous Forest,0-3,<1,2.58,13.2,223,1,0.14,4.25,N.D.,4.25,0.42,0.2,48,3.5,38,<5,10.2,3,7.38,0.04,0.02,1.29,22.2,16,0.29,235,0.99,0.22,7.9,8.5,1170,21.1,58.1,0.04,0.6,4,0.4,0.8,48.1,<0.1,5.8,0.31,0.2,2.1,40,0.6,8.8,47
C-320951,3316,NJ,41.1115,-74.7575,7/8/2008,Forested Upland,Deciduous Forest,0-4,<1,1.74,2.4,206,0.5,0.12,24.5,N.D.,24.5,1.43,0.5,29.7,3.4,15,<5,18,0.86,4.32,0.07,<0.02,0.52,17.3,11,0.37,464,0.72,0.33,7.8,8.5,1310,13.1,22.9,0.17,0.36,2.2,0.3,0.2,73.5,<0.1,3.6,0.13,0.1,1,17,0.6,9.6,78
C-320952,3572,NJ,39.4917,-75.4297,7/7/2008,Planted/Cultivated,Fallow,0-15,<1,1.54,1.3,155,0.5,0.09,0.67,N.D.,0.67,0.11,<0.1,36.6,1.9,14,<5,4.8,0.73,3.79,0.01,<0.02,0.47,15.4,10,0.1,117,0.38,0.16,7.4,5,350,12.1,22.6,<0.01,0.25,2.1,<0.2,0.3,28.6,<0.1,4.5,0.33,0.1,1.3,20,0.4,5.1,21
C-320953,4596,NJ,40.9813,-74.0312,7/8/2008,Forested Upland,Deciduous Forest,0-3,<1,3.67,3.8,293,1.2,0.15,4.58,N.D.,4.58,0.44,0.2,49.4,4.9,25,<5,15.3,1.76,8.64,0.17,0.03,1.13,23.9,14,0.31,487,0.54,0.94,7.7,11.2,670,45.9,43.1,0.03,0.67,4.2,0.3,1.5,73.5,<0.1,6.6,0.25,0.2,1.5,37,0.7,12.4,45
C-320954,6388,NJ,40.5547,-74.6177,7/8/2008,Forested Upland,Mixed Forest,0-2,<1,3.55,44.5,377,1.1,0.35,18.4,N.D.,18.4,0.74,0.7,43.8,10.5,37,<5,33.3,2.78,8.76,0.22,0.04,1.12,22.2,22,0.37,1810,1.17,0.48,13.9,17.8,1330,325,48.6,0.13,2.08,5,0.8,2.9,72.5,<0.1,7.7,0.48,0.3,1.6,56,1,10,128
C-320955,7412,NJ,41.2654,-74.7455,7/8/2008,Forested Upland,Deciduous Forest,7-May,<1,0.8,2.7,86,0.2,0.41,36.7,N.S.,?36.7,0.11,0.7,15,1.4,14,<5,16.1,0.51,2.94,0.38,0.07,0.18,7.2,5,0.05,172,1.23,0.07,3.1,9.1,810,126,7.9,0.15,2.16,1.9,1.2,6.3,17.5,<0.1,2.1,0.1,0.2,0.7,17,0.6,2.9,70
C-320956,7668,NJ,39.42,-75.0564,7/7/2008,Forested Upland,Mixed Forest,0-1,<1,0.26,0.9,38,<0.1,0.13,22.4,N.D.,22.4,0.07,0.2,5.9,0.6,6,<5,4.6,0.21,0.75,0.15,<0.02,0.06,2.5,2,0.03,84,0.59,<0.01,1.5,5,270,34.3,2.5,0.07,0.75,0.6,0.5,0.9,8.5,<0.1,0.5,0.06,<0.1,0.2,7,0.2,0.8,20
C-320957,8436,NJ,39.5673,-74.342,7/9/2008,Herbaceous Upland,Grasslands/Herbaceous,0-15,<1,6.07,12.3,421,1.5,0.27,3.81,N.D.,3.81,1.09,<0.1,65.4,8,76,<5,23.5,3.56,14.1,0.18,0.04,1.86,31.1,39,1.03,332,3.26,2.19,9.5,24,1090,38.9,75.6,0.19,0.55,8.6,0.5,2.4,216,<0.1,8.1,0.35,0.4,2.6,74,0.7,16.3,79
C-320958,9460,NJ,40.0808,-74.8005,7/8/2008,Forested Upland,Deciduous Forest,0-7,<1,2,8.1,167,0.6,0.37,13.3,N.D.,13.3,0.09,0.3,32.2,2.7,31,<5,24.9,1.96,5.63,0.38,0.05,0.58,15.9,13,0.12,103,1.53,0.2,5.8,14.1,590,146,24.1,0.09,4.61,2.7,1.1,6.7,33.3,<0.1,3.8,0.2,0.3,1.1,52,0.8,5.7,106
C-320946,10484,NJ,40.7844,-74.7532,7/8/2008,Planted/Cultivated,Fallow,0-12,<1,6.57,3.9,654,1.6,0.17,1.26,N.D.,1.26,0.25,0.2,119,16.1,39,<5,27.8,3.58,19.2,0.04,0.06,2.25,80.2,22,0.51,655,2.05,0.45,19.2,21.1,720,24,103,0.02,0.5,9.3,0.5,0.9,70.8,<0.1,12.5,0.43,0.7,2.1,63,0.7,84.1,77
C-320947,11764,NJ,39.6081,-75.4075,7/7/2008,Forested Upland,Mixed Forest,0-3,<1,2.76,10,225,1.6,0.17,8.16,N.D.,8.16,0.34,0.3,60.6,6.3,71,<5,12.1,3.15,8.61,0.08,0.03,1.14,26.2,17,0.35,554,1.51,0.16,9.7,12.1,1070,24.1,64,0.07,0.84,5.1,0.5,1.2,41.4,<0.1,6.6,0.29,0.3,2.6,45,0.7,19.8,58
C-320949,12532,NJ,39.8906,-74.3766,7/9/2008,Forested Upland,Evergreen Forest,0-7,<1,0.11,1.1,31,<0.1,0.1,2.07,N.D.,2.07,0.02,<0.1,7.56,0.5,6,<5,2.4,0.18,0.94,0.02,<0.02,0.02,3.6,3,0.01,39,0.34,<0.01,5.2,1.4,60,22.1,0.8,<0.01,0.45,0.8,<0.2,0.4,3.6,<0.1,1.3,0.26,<0.1,0.3,8,0.3,1.1,6
C-326134,59,NM,36.5464,-105.1312,4/7/2009,Forested Upland,Evergreen Forest,0-80,<1,6.47,7.7,744,1.8,0.17,3.64,0.1,3.5,1.49,0.2,65.6,8.2,17,8,20.3,2.65,15.6,0.03,0.06,2.38,32.6,52,0.37,732,0.87,1.1,9.9,7.1,750,17.4,105,0.03,0.52,7.8,0.2,2.6,360,<0.1,8.1,0.27,0.5,2.6,59,0.9,22,60
C-323850,63,NM,35.2237,-103.386,4/4/2009,Shrubland,Shrubland,0-15,<1,4.5,3.3,773,1.2,0.12,0.63,0.2,0.4,4.93,0.2,46.4,11,20,<5,12.6,3.16,9.3,<0.01,0.03,1.37,27.1,13,0.65,458,0.68,1.48,15.2,8.4,610,11.9,51.1,0.05,0.44,5.9,<0.2,1,359,<0.1,6.2,0.32,0.2,1.4,93,0.7,12,44
C-325793,148,NM,34.2249,-107.2694,4/10/2009,Shrubland,Shrubland,0-50,<1,8.09,1.7,1000,1.5,<0.04,0.49,N.D.,0.49,2.88,0.1,59.5,20,73,<5,25.5,3.92,20.5,<0.01,0.04,1.9,30.8,17,1.23,686,0.3,2.61,10.3,52.8,1060,15.7,59.5,0.01,0.32,11.7,<0.2,1.3,927,<0.1,5.4,0.47,0.2,1.1,106,0.1,19.1,100
C-326083,299,NM,36.3617,-108.5867,4/17/2009,Shrubland,Shrubland,0-12,<1,3.13,3.1,600,0.9,0.1,0.2,N.D.,0.2,0.31,<0.1,33.7,3.1,7,<5,6.2,0.97,7.06,<0.01,<0.02,1.69,18,13,0.3,134,0.52,0.47,4.9,5.8,250,11.2,60.1,0.04,0.61,3.1,<0.2,0.8,75.1,<0.1,5.2,0.11,0.4,1.4,26,0.6,10,25
C-325748,319,NM,33.8761,-105.1959,4/11/2009,Shrubland,Shrubland,0-30,<1,4.44,4.2,498,1.5,0.1,1.71,0.9,0.8,2.69,0.3,51.2,6.9,33,<5,15.4,2.29,11.8,0.02,0.03,1.72,26.1,19,0.62,399,0.6,0.85,12.6,12.9,440,17.6,71.3,0.02,0.66,6.3,<0.2,1.5,146,<0.1,7.1,0.28,0.4,1.5,55,0.6,16.3,65
C-326076,404,NM,34.7589,-106.5879,4/9/2009,Herbaceous Upland,Grasslands/Herbaceous,0-60,<1,5.97,4.6,599,1.6,0.29,1.19,0.1,1.1,1.63,0.3,59,12.1,38,7,26.2,2.85,14.4,0.02,0.06,2.17,29.6,33,0.94,615,0.7,0.97,13.1,24.4,800,22.9,94.5,0.03,0.85,10.7,<0.2,1.9,162,<0.1,9.6,0.35,0.6,2.1,62,1.9,22,71
C-324001,495,NM,32.7399,-104.843,4/16/2009,Shrubland,Shrubland,0-10,<1,4.37,5.3,481,2.3,0.21,2.91,1.1,1.8,3.42,0.2,52,7.2,28,<5,14.5,1.97,8.6,0.03,0.03,1.54,27.7,21,1.08,333,0.99,0.7,12.8,12.1,460,15.8,77.7,0.04,0.6,6.7,0.3,1.6,131,0.6,9.1,0.32,0.4,2,49,2,17.4,46
C-326192,555,NM,36.9216,-106.5796,4/8/2009,Herbaceous Upland,Grasslands/Herbaceous,0-20,<1,5.46,6.9,708,1.9,0.23,2.14,N.D.,2.14,0.56,0.4,75.8,11.4,33,<5,20.9,2.34,13.4,0.01,0.05,2.05,37.5,27,0.42,780,1.01,0.9,11.9,14.9,740,18.5,94.2,0.03,1.16,7.4,0.4,1.7,156,<0.1,9.8,0.41,0.6,2.5,66,1.1,20.5,62
C-327692,596,NM,31.8182,-107.2805,4/22/2009,Shrubland,Shrubland,0-20,<1,5.22,2,749,1.4,0.14,0.25,N.D.,0.25,0.95,0.2,49,5.9,24,<5,12.7,1.61,12.6,<0.01,0.03,2.64,26.7,18,0.57,258,1.01,1.36,12.8,25.9,350,17.7,119,0.01,0.47,4.8,<0.2,1.1,209,<0.1,6.4,0.24,0.4,1.5,34,0.8,15.6,41
C-327715,660,NM,32.9031,-107.0008,4/18/2009,Shrubland,Shrubland,0-30,<1,4.17,4.8,688,1.1,0.2,2.55,1.7,0.9,6.89,0.3,56.3,7.2,17,<5,23.2,2.08,10.2,0.02,0.03,1.7,27,19,0.61,426,0.63,0.71,10.4,12.7,620,18.6,78.4,0.03,0.73,5.3,<0.2,1.2,200,<0.1,7.6,0.27,0.4,1.5,51,1.2,18.7,53
C-326144,811,NM,36.7274,-107.845,4/18/2009,Shrubland,Shrubland,0-13,<1,5.06,4.3,677,1.2,0.18,0.69,0.2,0.5,1.41,0.2,57.5,7.2,17,<5,13.2,2.01,12.7,0.01,0.04,1.94,29.2,18,0.59,405,0.81,1.01,11.5,9.3,490,18.6,79.3,0.02,0.82,5.3,<0.2,1.4,183,<0.1,9.4,0.28,0.5,2.1,51,0.9,16.4,43
C-326162,916,NM,33.571,-108.2048,4/20/2009,Shrubland,Shrubland,0-20,<1,6.72,3.9,448,2.2,0.19,0.53,N.D.,0.53,0.58,0.1,73.5,6.5,20,<5,11.6,2.02,17.2,0.01,0.06,3.08,37.1,28,0.22,455,0.84,1.76,22.7,14.3,230,22.7,141,0.01,0.61,5,<0.2,2.6,128,<0.1,14.7,0.28,0.5,2.1,41,1.4,28.5,42
C-326132,1003,NM,36.1877,-103.3658,4/3/2009,Shrubland,Shrubland,0-20,<1,3.35,7.6,472,0.9,0.13,2.26,1.1,1.2,4.73,0.2,41.9,4,11,<5,9.9,1.14,7.2,0.01,0.03,1.51,20.5,15,0.33,301,1.16,0.55,7.2,7.3,340,11.8,64.3,0.02,0.55,3.7,<0.2,0.9,164,<0.1,6,0.18,0.3,2.2,34,0.6,13.7,32
C-325787,1007,NM,35.3179,-105.7185,4/6/2009,Forested Upland,Evergreen Forest,0-40,<1,4.96,5.5,592,1.6,0.09,1.94,0.5,1.4,2.35,0.2,56.2,7.9,21,<5,17.6,2.17,12.1,0.02,0.03,1.68,28.8,21,0.65,424,0.62,0.78,11,14.9,470,17.7,76.7,0.03,0.72,7.6,<0.2,1.3,147,<0.1,8.1,0.29,0.4,1.7,52,0.5,18,57
C-326135,1083,NM,36.8298,-103.4155,4/3/2009,Shrubland,Shrubland,0-30,<1,6.21,8.2,584,2,0.26,1.23,0.3,0.9,1.92,0.3,75.5,11.3,33,5,23.7,2.93,15.6,0.02,0.06,1.79,36.8,35,0.68,434,1.47,0.49,14.6,25.5,520,17.5,98.5,0.02,0.97,9,0.3,2.1,156,<0.1,10.7,0.32,0.6,2.1,84,1.2,21.5,74
C-325783,1172,NM,35.1853,-108.2835,4/16/2009,Forested Upland,Evergreen Forest,0-10,<1,4.89,4.9,604,1.4,0.31,2.34,N.D.,2.34,0.48,0.1,69.3,9.9,26,7,13.6,1.73,9.79,0.02,0.04,2.27,33.9,21,0.33,666,0.62,1.01,11.1,11.6,220,18.6,99.1,0.03,0.74,6.4,<0.2,2,98.7,<0.1,11,0.31,0.5,2.2,44,1,20.1,32
C-326200,1323,NM,35.597,-108.548,4/17/2009,Shrubland,Shrubland,0-10,<1,4.16,3.3,569,1.4,0.13,0.49,N.D.,0.49,0.55,<0.1,50.8,3.9,10,<5,6.9,1.23,9,<0.01,0.02,1.85,25.9,17,0.34,208,0.39,0.57,8,4.6,340,12.7,79.8,0.01,0.4,3.4,0.6,1.4,86.2,<0.1,5.6,0.19,0.4,3.4,37,0.6,17.7,28
C-326730,1343,NM,33.7877,-104.6452,4/14/2009,Shrubland,Shrubland,0-20,<1,0.86,2.5,134,0.4,0.06,1.32,0.8,0.5,21.5,0.1,13.1,2,3,<5,4.6,0.35,1.9,0.02,<0.02,0.33,6.2,5,0.14,67,0.22,0.18,3.6,2.6,140,3.9,15.9,15.5,0.14,1.1,<0.2,0.4,330,<0.1,1.9,0.05,<0.1,0.3,9,0.2,4.7,10
C-323835,1428,NM,34.7796,-106.9873,4/9/2009,Shrubland,Shrubland,0-50,<1,5.42,17.5,559,1.6,0.11,1.62,1.2,0.4,4.28,0.1,43.3,8.8,33,10,17.1,2.22,11.8,0.01,0.04,1.61,23.4,38,1.26,429,0.78,0.69,9.2,17.9,500,12.2,73.7,0.06,0.6,8,<0.2,1.5,280,<0.1,7.2,0.26,0.5,1.8,56,0.8,13.9,40
C-326130,1519,NM,32.2771,-105.1436,4/17/2009,Shrubland,Shrubland,0-80,<1,2.89,2.9,349,0.7,0.19,2.23,N.D.,2.23,0.46,0.1,44.3,5.2,20,<5,12.6,1.02,5.9,0.02,0.02,1.05,22.2,16,0.24,384,0.46,0.51,7,8.4,180,12.6,50.8,0.01,0.46,3.4,<0.2,1,77.2,<0.1,5.4,0.24,0.2,1.4,28,0.5,11.4,26
C-327720,1620,NM,32.3825,-107.7962,4/22/2009,Shrubland,Shrubland,0-40,<1,7.3,3,854,1.5,0.17,0.41,N.D.,0.41,1.49,0.1,55.5,10.4,36,<5,26,4.19,18.8,0.02,0.05,2.44,29.8,24,0.72,516,0.91,2,11.2,20,330,20.2,106,0.01,0.36,7,<0.2,1.5,456,<0.1,8.3,0.46,0.4,1.3,120,0.7,17.5,93
C-326123,1684,NM,34.1112,-106.8391,4/11/2009,Shrubland,Shrubland,0-20,<1,4.22,2.7,640,1.3,0.12,0.34,0.1,0.2,1.29,0.1,44.6,5.2,10,<5,8.1,1.6,9.6,<0.01,0.02,1.92,23.1,12,0.34,306,0.47,1.26,7,6.8,280,12.7,80.2,0.01,0.43,3.6,<0.2,0.9,219,<0.1,5.3,0.2,0.3,1.2,40,0.6,11.3,33
C-326724,1771,NM,36.8446,-105.6765,4/7/2009,Shrubland,Shrubland,0-30,<1,6.74,5,760,2.4,0.26,1.07,N.D.,1.07,1.08,0.3,73,10.4,29,<5,22.7,2.68,15.7,0.02,0.05,2.54,36,24,0.59,705,0.95,1.45,15.4,14.2,710,19.6,118,0.02,0.69,7.2,<0.2,1.8,243,<0.1,8.9,0.35,0.5,2.1,59,1.3,24.2,70
C-326082,1835,NM,36.1889,-106.7581,4/8/2009,Forested Upland,Evergreen Forest,0-10,<1,3.31,2.5,252,0.9,0.18,2.02,N.D.,2.02,0.27,<0.1,49.6,4.6,18,<5,9,1.14,8.51,0.02,0.03,0.88,24.1,22,0.27,244,0.43,0.39,8.8,8,290,14,45.7,0.01,0.51,4.1,<0.2,1.4,59.4,<0.1,7.1,0.22,0.3,1.7,32,0.8,10.6,29
C-327712,1876,NM,32.2716,-106.8874,4/18/2009,Shrubland,Shrubland,0-20,<1,3.98,2.4,641,1,0.14,0.26,N.D.,0.26,0.78,0.1,30.9,3.8,8,<5,10.9,1.35,9.52,<0.01,0.02,1.95,18.8,15,0.31,211,0.32,0.87,8.2,7.6,190,15.6,75.6,<0.01,0.47,3.4,<0.2,0.9,159,<0.1,4.5,0.19,0.3,0.8,31,0.6,9.7,33
C-326203,1940,NM,33.8932,-107.7015,4/20/2009,Herbaceous Upland,Grasslands/Herbaceous,0-40,<1,6.97,5.3,573,3.5,0.28,1.39,N.D.,1.39,1.02,0.3,84.5,9.7,34,15,21.6,2.47,19.6,0.03,0.07,2.84,40,45,0.52,763,0.95,1.62,26,14.6,560,24.3,163,0.09,0.96,7,<0.2,2.8,288,<0.1,15.2,0.34,0.5,2.6,48,1.4,38,86
C-326717,2027,NM,36.1277,-105.4967,4/7/2009,Forested Upland,Mixed Forest,0-40,<1,6.56,5.2,536,3.2,0.32,2.11,N.D.,2.11,0.57,0.3,84.5,13.3,51,<5,27.2,3.1,16.6,0.02,0.05,2.27,40.7,41,0.65,855,1.46,0.84,17,22.1,840,18.3,123,0.03,0.63,9.6,0.3,2.2,126,<0.1,10.4,0.33,0.5,4.2,63,1.8,28.1,94
C-325796,2031,NM,33.4129,-104.2532,4/16/2009,Shrubland,Shrubland,0-50,<1,0.66,2.1,95,0.2,<0.04,1,0.3,0.7,19.5,<0.1,7.49,1.7,2,<5,13.8,0.27,1.65,0.01,<0.02,0.29,3.8,4,0.16,53,0.07,0.15,1.9,2.7,150,3,11.1,16.6,0.15,1,<0.2,0.3,2150,<0.1,1.2,0.04,<0.1,0.3,10,<0.1,2.4,29
C-326087,2111,NM,34.5788,-104.2459,4/13/2009,Shrubland,Shrubland,0-70,<1,2.51,2.3,277,1,0.13,0.51,N.D.,0.51,0.23,0.1,25.7,3.6,10,<5,7.1,1.05,6.57,0.01,0.02,0.96,13.5,13,0.22,172,0.39,0.39,5.7,6.8,160,11.1,42.6,<0.01,0.43,3,<0.2,0.9,62.4,<0.1,4.6,0.13,0.3,1,26,0.5,8.6,24
C-326155,2132,NM,32.615,-108.7411,4/21/2009,Shrubland,Shrubland,0-10,<1,6.53,2.4,788,2.3,0.38,0.23,N.D.,0.23,0.58,0.2,81,6,20,5,20.3,1.92,16.8,0.01,0.06,3.31,41.4,19,0.24,418,1.06,1.9,17.5,10.2,370,30.5,179,<0.01,0.9,4.8,<0.2,2.4,151,<0.1,16.4,0.32,0.9,2.5,40,1.9,32.5,54
C-325784,2196,NM,35.1974,-107.7032,4/16/2009,Forested Upland,Evergreen Forest,0-11,<1,5.8,5.2,553,2,0.11,1.11,N.D.,1.11,0.67,0.1,62.6,12.4,33,<5,18.5,2.89,15,0.02,0.04,1.63,32.2,29,0.65,451,0.57,0.62,12.1,28.7,290,17.8,82.7,0.02,0.68,10.3,0.2,1.6,111,<0.1,9.2,0.36,0.4,1.8,69,0.2,21.2,59
C-326080,2260,NM,34.4422,-108.7832,4/10/2009,Shrubland,Shrubland,0-10,<1,7.89,1.7,361,1.2,0.08,0.54,N.D.,0.54,5.29,0.1,32.6,39.7,266,<5,40.1,6.34,16.1,<0.01,0.06,1.11,16.2,13,5.09,994,1.09,1.71,18.8,182,1400,9.6,24.8,0.03,0.27,22.3,<0.2,1.3,403,<0.1,3.5,0.88,0.2,0.8,174,0.4,15.5,78
C-324007,2287,NM,32.2385,-103.7283,4/15/2009,Shrubland,Shrubland,0-50,<1,0.94,1.2,189,0.3,<0.04,0.14,N.D.,0.14,0.08,<0.1,10.4,0.9,8,<5,3.8,0.55,2.32,<0.01,<0.02,0.49,6.3,8,0.06,64,0.09,0.1,2.9,2.7,70,5.3,19.4,<0.01,0.3,1.1,<0.2,0.4,21.7,<0.1,2.1,0.07,0.1,0.4,16,0.4,2.8,15
C-323839,2367,NM,33.6296,-104.3218,4/14/2009,Shrubland,Shrubland,0-30,<1,2.78,3.8,309,0.9,0.06,1.21,0.7,0.5,2.89,<0.1,31.1,3.7,21,<5,7.1,1.16,6,<0.01,<0.02,1.06,14.9,19,0.76,185,0.32,0.46,4.5,9,240,7.6,45.5,0.02,0.35,4,<0.2,0.9,109,<0.1,4.5,0.14,0.2,1.1,29,0.4,7.6,23
C-325702,2452,NM,35.2017,-105.7382,4/6/2009,Herbaceous Upland,Grasslands/Herbaceous,0-50,<1,4.11,5.3,455,1.2,0.17,1.83,0.5,1.3,2.15,0.2,54,6.4,21,<5,15.1,1.84,9.48,0.01,0.03,1.4,24.6,22,0.51,370,0.73,0.61,9.2,13,440,17.4,64.5,0.03,0.63,5.8,<0.2,1.1,129,<0.1,7.1,0.27,0.4,1.7,50,1,15.5,51
C-325695,2543,NM,32.6216,-104.4669,4/15/2009,Shrubland,Shrubland,0-30,<1,4.78,3.9,445,1.4,0.19,3.19,0.9,2.3,4.31,0.4,53.4,5.8,24,<5,16.5,1.95,10.9,0.02,0.04,1.95,24.4,23,0.95,487,0.7,0.56,10,14.2,630,18.3,83.4,0.04,0.63,5.5,<0.2,1.4,126,<0.1,7.6,0.25,0.5,1.5,40,1,17.1,62
C-327706,2708,NM,32.9671,-107.4592,4/18/2009,Shrubland,Shrubland,0-20,<1,5.73,6.6,662,2.4,0.71,1.29,N.D.,1.29,0.98,0.3,82.7,16.4,25,7,64.1,3.85,19.8,0.03,0.08,2.21,41.6,18,0.61,701,1.3,0.92,13.8,16.4,1330,23.1,172,0.02,0.67,13.3,<0.2,2.2,250,0.1,9.8,0.39,1,2.2,112,2.4,30.9,93
C-325741,2795,NM,35.6101,-103.2215,4/4/2009,Shrubland,Shrubland,0-20,<1,2.03,1.4,351,0.5,<0.04,0.49,N.D.,0.49,0.15,<0.1,15.9,1.9,9,<5,4.4,0.7,5.02,<0.01,<0.02,1.28,8.4,9,0.12,172,0.08,0.28,3.2,4.1,140,9,45.7,<0.01,0.26,2.2,<0.2,0.5,45.2,<0.1,2.6,0.09,0.2,0.8,18,<0.1,6.2,26
C-325703,2799,NM,34.3738,-105.2252,4/13/2009,Shrubland,Shrubland,0-70,<1,1.73,3.5,197,0.5,0.08,1.38,0.5,0.9,2.48,<0.1,18.8,2.4,5,<5,6,0.77,4.18,<0.01,<0.02,0.72,9.8,9,0.21,111,0.39,0.22,4.5,6.3,150,7,30.2,0.02,0.29,2.1,<0.2,0.5,69,<0.1,2.8,0.1,0.2,0.7,20,0.4,5.9,20
C-325794,2859,NM,35.4259,-106.2848,4/6/2009,Shrubland,Shrubland,0-50,<1,5.38,6.4,1030,1.3,0.06,3.06,1.8,1.3,7.41,0.2,50.1,7.1,13,<5,197,2.16,13.2,0.01,0.03,1.49,27.6,29,0.84,396,0.64,0.83,11,11.4,590,16.4,64.6,0.03,0.67,6.6,0.2,1.9,435,<0.1,7.4,0.24,0.4,1.8,55,0.5,17.6,425
C-327716,2900,NM,32.7454,-106.9005,4/18/2009,Shrubland,Shrubland,0-40,<1,3.82,2.2,578,0.9,0.11,1.21,0.9,0.3,3.65,0.1,38.6,4.2,9,<5,10.1,1.39,8.7,0.02,0.02,1.84,20,21,0.41,212,0.35,0.8,7,8.5,250,11.8,76.8,0.01,0.54,3.5,<0.2,0.8,251,<0.1,5.1,0.19,0.4,1.3,34,0.7,11.3,30
C-325757,3051,NM,35.5222,-105.1814,4/6/2009,Herbaceous Upland,Grasslands/Herbaceous,0-30,<1,4.75,5.8,500,1.6,0.12,0.98,0.1,0.9,0.64,0.2,60.9,8.7,32,<5,16.8,2.2,12.4,0.02,0.03,1.59,30.6,26,0.39,483,0.65,0.71,13.2,14.1,470,17.5,74.5,0.02,0.68,7.7,0.2,1.6,116,<0.1,9.2,0.31,0.4,2.1,50,0.8,20.7,57
C-323834,3055,NM,33.76,-103.478,4/15/2009,Shrubland,Shrubland,0-30,<1,1.87,2.2,227,0.5,0.08,0.43,N.D.,0.43,0.15,<0.1,24.4,2.3,13,<5,6.5,0.85,4.06,<0.01,<0.02,0.75,12.5,13,0.13,130,0.21,0.2,4.5,5.7,120,7.4,35.6,<0.01,0.4,2.5,<0.2,0.6,34.4,<0.1,3.5,0.12,0.2,0.8,21,0.3,5.5,18
C-326197,3115,NM,36.1974,-107.4557,4/8/2009,Shrubland,Shrubland,0-50,<1,5.08,4.1,713,1.4,0.16,0.77,N.D.,0.77,0.43,0.2,72,6.3,20,<5,16.2,1.47,10,0.01,0.03,2.29,34.8,18,0.3,521,0.69,0.98,10.4,7.5,400,15.9,101,0.02,0.72,4.5,<0.2,1.2,129,<0.1,9.9,0.29,0.4,2.2,36,0.9,16.4,42
C-326725,3135,NM,35.1692,-104.2437,4/4/2009,Shrubland,Shrubland,0-10,<1,4.83,5.4,393,1.5,0.18,0.96,N.D.,0.96,0.39,0.2,58.4,7.7,29,<5,19.1,2.09,10.6,0.02,0.03,1.31,29.2,29,0.47,413,0.6,0.77,9.5,15.8,350,14.1,70.5,0.02,0.66,5.7,<0.2,1.4,92.4,<0.1,7.2,0.27,0.3,1.6,58,0.9,16.2,51
